Wavelength (nm),Absorbance (AU),Std.Dev.
190,-0.56337308883667,1.1912717649507
191,0.287965297698975,0.825411976918572
192,-0.0632047653198242,0.456103826648707
193,0.595871925354004,0.647742945041907
194,0.12803316116333,0.460978877909722
195,0.294543266296387,0.546958698952101
196,-0.285500526428223,0.590787221439009
197,0.777365207672119,0.425135691803585
198,-0.37136173248291,0.330580470181808
199,-0.1501145362854,0.437081272834355
200,0.223565578460693,0.592489410176988
201,-0.581242084503174,0.454663001380384
202,0.247972965240479,0.231220635276643
203,-0.0986475944519043,0.276089262307897
204,-0.278472423553467,0.181351626614117
205,-0.0111880302429199,0.200488067195758
206,0.180477619171143,0.368338869723545
207,0.270814418792725,0.199146930988329
208,0.036311149597168,0.124839679904712
209,0.0242705345153809,0.112134721927762
210,0.166739940643311,0.207867929050478
211,0.0971746444702148,0.225795103921848
212,0.0554904937744141,0.132722712066699
213,0.083707332611084,0.295225681682675
214,0.400798797607422,0.553751410833417
215,0.618697643280029,0.280734118887984
216,0.342755317687988,0.222579139608077
217,-0.0385928153991699,0.370517644917637
218,-0.103166580200195,0.257271864485527
219,0.382801532745361,0.362724287429731
220,0.775413513183594,0.640684543726718
221,1.0241494178772,1.00414181331623
222,0.464672088623047,0.959904805867814
223,-0.364761829376221,1.8307273144846
224,0.561782360076904,1.05118051197214
225,0.366817474365234,0.372253533053877
226,0.315246105194092,0.347019254914263
227,0.158702850341797,0.183946635593298
228,-0.230655670166016,0.311338172281414
229,-0.047823429107666,0.621965288671723
230,0.146665573120117,0.327216935459585
231,-0.177624702453613,0.262039216113257
232,0.114192485809326,0.206828467906908
233,-0.386669158935547,0.128539517393439
234,0.0267333984375,0.132106926352233
235,0.393776893615723,0.155328704786854
236,-0.129706382751465,0.389568884814515
237,0.0514535903930664,0.746717262370353
238,-0.30449104309082,0.363081682415223
239,-0.0161166191101074,0.101348651815668
240,-0.0931897163391113,0.0998961863480033
241,-0.132553100585937,0.123312043766777
242,0.0213408470153809,0.113617496658195
243,0.542222499847412,0.102236346314863
244,0.0830240249633789,0.157356918980933
245,-0.138777256011963,0.16169409817392
246,0.0905890464782715,0.144989113234556
247,-0.244498729705811,0.114607837253232
248,-0.0557155609130859,0.116830919082084
249,0.00314712524414062,0.218046965973198
250,-0.041109561920166,0.278517268578601
251,0.085360050201416,0.420035413429816
252,-0.697231769561768,0.759622516245734
253,-0.263225078582764,0.50608178628959
254,-0.226742744445801,0.732460936458389
255,-0.486422538757324,0.472753089253193
256,-0.226552486419678,0.507331502970444
257,-0.0829343795776367,0.399116685216202
258,-0.310245513916016,0.300603640743297
