Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.248115539550781,0.16059332034233
191,0.00491762161254883,0.155448383166573
192,0.339681148529053,0.363491202771384
193,0.599830627441406,0.603246931489554
194,0.434131622314453,0.496516490650896
195,-0.180058479309082,0.16866565998566
196,-0.0396738052368164,0.167337339761095
197,0.068453311920166,0.246240965391848
198,0.268757343292236,0.270153267768386
199,0.155301570892334,0.395603046019026
200,0.331780433654785,0.577055069911822
201,0.766629219055176,0.480294048523272
202,0.229247093200684,0.858628937518268
203,0.94047737121582,0.458065070048391
204,0.183023929595947,0.48161860629921
205,0.521768569946289,0.227285350102231
206,0.114022254943848,0.0700202803525131
207,0.248241424560547,0.117112199114339
208,0.131669998168945,0.197840090209101
209,-0.0922322273254395,0.140346675525481
210,-0.0641350746154785,0.158537335063028
211,0.146643161773682,0.200245325307776
212,0.00678920745849609,0.163518093216262
213,-0.534064769744873,0.189039900508795
214,-0.654270648956299,0.248964070742161
215,-0.346141338348389,0.165713765091853
216,-0.253384113311768,0.264192194943644
217,-0.485857486724854,0.412271332216039
218,0.0465264320373535,0.437273239224844
219,0.0340762138366699,0.29162452029938
220,0.340458869934082,0.35037233438883
221,-0.0499486923217773,0.515625
222,-0.151775360107422,0.682756183318302
223,-0.0226998329162598,0.39604636365957
224,-0.687519550323486,0.497874510615188
225,-0.555010795593262,0.510001292507553
226,-0.87261962890625,0.769580820103954
227,-0.472895622253418,0.473808963699539
228,-0.737044811248779,0.648708057260496
229,0.344498157501221,1.01973327739721
230,0.163552761077881,1.10835670695122
231,-1.01476573944092,1.15975503373827
232,0.243148803710937,0.969946337916433
233,0.0991902351379395,0.419990001741113
234,0.106167316436768,0.210466778016003
235,0.175674438476562,0.150716848900448
236,0.126193523406982,0.126644757701692
237,0.237112522125244,0.256015875324107
238,0.328252792358398,0.473398178028747
239,0.512946605682373,0.275992527072745
240,0.0325722694396973,0.193881476308256
241,0.192725658416748,0.211997301480375
242,0.194836616516113,0.243933505894232
243,-0.106170654296875,0.1416453326748
244,-0.0133509635925293,0.0961926455345295
245,-0.0950913429260254,0.13725133431764
246,-0.0167026519775391,0.194308945204598
247,-0.112462043762207,0.205008358668673
248,0.104750633239746,0.192632986924273
249,0.119362831115723,0.488140604744166
250,-0.308815956115723,0.93417378686329
251,-0.0266842842102051,0.442407603127125
252,0.219263553619385,0.127343150880492
253,0.0209512710571289,0.20706349247753
254,0.0273184776306152,0.178489339216288
255,-0.144890308380127,0.288223285585179
256,0.16374683380127,0.202645542917808
257,0.224406719207764,0.134141444013225
258,-0.0572104454040527,0.346683813795866
259,0.7269287109375,0.695882841926355
260,0.194489479064941,0.373246224549727
261,0.112105846405029,0.191660187100336
262,0.00566482543945313,0.167391472573522
263,0.131975173950195,0.151650440619659
264,-0.0816245079040527,0.128108474782253
265,-0.0249228477478027,0.147632221507191
266,-0.0310688018798828,0.141658797700038
267,-0.143942832946777,0.17028349183151
268,-0.259000301361084,0.149729675849773
269,-0.239052295684814,0.101595359768372
270,-0.109144687652588,0.165353689560793
271,-0.228825569152832,0.316809879511134
272,0.391348838806152,0.19298416879189
273,-0.3014235496521,0.0906021615551572
274,-0.0617971420288086,0.135689485047807
275,-0.00349807739257812,0.240904331323839
276,0.0959272384643555,0.346782830167279
277,0.150293350219727,0.306478858604447
278,-0.215437412261963,0.408207797521105
279,-0.00211620330810547,0.420534618354274
280,-0.109275817871094,0.249816827426867
281,-0.00641870498657227,0.309587255549753
282,0.112003326416016,0.212276026555509
283,0.177566051483154,0.398753321523196
284,0.550022125244141,0.8141134820888
285,0.809757709503174,0.402201507016189
286,0.0532412528991699,0.236650735381576
287,0.0175008773803711,0.139001588661391
288,0.110521793365479,0.13731038283885
289,0.0602803230285645,0.0920096022529077
290,0.266386032104492,0.0797155592641358
291,0.256087779998779,0.0728177807902627
292,0.185932159423828,0.0593327020261518
293,0.366454601287842,0.0499647970252303
294,0.311001300811768,0.0306505890420938
295,0.263044357299805,0.0197520176786403
296,0.289967060089111,0.0182351148074453
297,0.287491321563721,0.0124667201481316
298,0.304934501647949,0.0112761522013097
299,0.281044960021973,0.0072635682589184
300,0.272648334503174,0.00659137300612036
301,0.282821178436279,0.00435151129920191
302,0.2807936668396,0.00373955533708738
303,0.276353359222412,0.00309712073662815
304,0.278529167175293,0.0028617451074268
305,0.26968240737915,0.00266234169196119
306,0.278280258178711,0.00185031300044299
307,0.273006916046143,0.00128911935796477
308,0.269448757171631,0.0014182057379675
309,0.270729541778564,0.00129166798549887
310,0.264783382415771,0.00104825770816362
311,0.26292610168457,0.000817858994807241
312,0.262610912322998,0.000483827845747972
313,0.259426116943359,0.00054055754345454
314,0.257596969604492,0.00052762931138621
315,0.255843639373779,0.000504117692159478
316,0.252666473388672,0.000443268807126131
317,0.250676155090332,0.000514545960692441
318,0.248326778411865,0.000542358197528356
319,0.245625972747803,0.000574982575451871
320,0.244714260101318,0.000435803076633277
321,0.242140293121338,0.000417713705240482
322,0.240599155426025,0.000483745127921065
323,0.239441394805908,0.000419894040094513
324,0.236824512481689,0.000231556366028493
325,0.236921787261963,0.000293843136737128
326,0.23585033416748,0.000388312948015305
327,0.234058380126953,0.000315526430010026
328,0.231997489929199,0.000249717029319907
329,0.230170726776123,0.000238491047336112
330,0.228500366210937,0.000208490742663878
331,0.227568626403809,0.000203398856914799
332,0.225893974304199,0.000248636630183305
333,0.224349975585937,0.000338596019065033
334,0.222225189208984,0.000258655041053556
335,0.220789909362793,0.00023177229141016
336,0.218977928161621,0.000216532378331274
337,0.216159343719482,0.000316039092753892
338,0.214734077453613,0.000328341078711385
339,0.212375164031982,0.000271554470446997
340,0.210574626922607,0.000259511586787338
341,0.208473682403564,0.000237489798593006
342,0.206057071685791,0.000242465951264507
343,0.203884601593018,0.000286959318194271
344,0.20209264755249,0.000352740912229005
345,0.199790000915527,0.000322426553483817
346,0.198599815368652,0.000338757145298665
347,0.196097850799561,0.000330830156441873
348,0.194315910339355,0.000380553097941282
349,0.193190097808838,0.000434934043288353
350,0.191012859344482,0.000391958983853519
351,0.190216541290283,0.000541364546954553
352,0.189113616943359,0.000501701582322661
353,0.187206745147705,0.00045870049300928
354,0.186529159545898,0.00039597586616567
355,0.186144351959229,0.000294232869802749
356,0.185545444488525,0.000350962514309593
357,0.184569835662842,0.000412834144850729
358,0.184088230133057,0.000363138342508004
359,0.183155059814453,0.000359189755442302
360,0.18347692489624,0.000427850228018218
361,0.182494163513184,0.000440246475200675
362,0.182937622070312,0.00044904188375013
363,0.181397438049316,0.000495396861441821
364,0.180368900299072,0.000412243304365859
365,0.180758476257324,0.000310054172649553
366,0.180135726928711,0.000381078519496294
367,0.179311752319336,0.000471427751967608
368,0.178325653076172,0.00038644408396444
369,0.177990436553955,0.000435360420628102
370,0.176887989044189,0.0003015360746671
371,0.176656723022461,0.000313647230057221
372,0.17520809173584,0.000366340058133987
373,0.174839496612549,0.000383552587008841
374,0.173230171203613,0.000339491983097499
375,0.172245025634766,0.000505170206326412
376,0.170773506164551,0.000427314207914442
377,0.168890953063965,0.000391829020896723
378,0.167631149291992,0.000353194412887824
379,0.164941787719727,0.000345888090355852
380,0.163268566131592,0.000385227765742405
381,0.161654949188232,0.000356230229976308
382,0.161067485809326,0.000357036100976489
383,0.158398151397705,0.000348653730598373
384,0.156243324279785,0.000266640244199921
385,0.15364408493042,0.000278250723220131
386,0.151993274688721,0.000290650143436188
387,0.149709224700928,0.000317818315360996
388,0.148123264312744,0.000261988064906399
389,0.145782947540283,0.000255926103480827
390,0.143723011016846,0.000285140646628454
391,0.142037868499756,0.000267743108956593
392,0.140462875366211,0.000226758004179421
393,0.13878345489502,0.000272330380166025
394,0.137255668640137,0.0002774126956093
395,0.13528299331665,0.000237355724191818
396,0.134720325469971,0.000245151809891657
397,0.133493423461914,0.000289320331764591
398,0.133027076721191,0.000414478751238812
399,0.131997108459473,0.000252872998740971
400,0.132148265838623,0.000189000830439534
401,0.131569385528564,0.000296542111216975
402,0.130980968475342,0.000231155388708893
403,0.130721569061279,0.00025114067487874
404,0.131183624267578,0.000248241259691709
